to,n,from
production accountant,2,production accountant
production artist,2,production artist
production assistant,2,production assistant
production associate,2,production associate
production controller,2,production controller
production coordinator,2,production coordinator
production designer,2,production designer
production director,2,production director
production engineer,2,production engineer
production executive,2,production executive
production intern,2,production intern
production lead,2,production lead
production manager,2,production manager
production officer,2,production officer
production operator,2,production operator
production planner,2,production planner
production runner,2,production runner
production specialist,2,production specialist
production supervisor,2,production supervisor
production team leader,3,production team leader
production technician,2,production technician
production worker,2,production worker
producer,1,productor
producer,1,produtor
prof,1,prof
prof,1,prof.
professor,2,prof. dr.
professional,1,profesional
professor,1,profesor
professor of english,3,profesor de inglés
college professor,2,profesor universitario
professor,1,profesora
professor of english,3,profesora de inglés
professor,1,professeur
school teacher,2,professeur des écoles
professional,1,professional
professional actor,2,professional actor
professional athlete,2,professional athlete
professional basketball player,3,professional baseball player
professional basketball player,3,professional basketball player
professional driver,2,professional driver
professional football player,3,professional football player
professional hockey player,3,professional hockey player
professional photographer,2,professional photographer
professor,1,professor
physical education teacher,3,professor de educação física
professor emeritus,2,professor emeritus
college professor,2,professor universitário
professor,1,professora
professor of english,3,professora de inglês
designer,1,progettista
program administrator,2,program administrator
programs analyst,2,program analyst
program assistant,2,program assistant
program associate,2,program associate
program coordinator,2,program coordinator
program director,2,program director
program manager,2,program manager
program officer,2,program officer
program specialist,2,program specialist
program supervisor,2,program supervisor
programmer,1,programador
programmer,1,programadora
programmer,1,programmatore
manager program,2,programme manager
programme officer,2,programme officer
programmer,1,programmer
programs analyst,2,programmer analyst
programs analyst,2,programmer and analyst
programmer,1,programmeur
project,1,project
project accountant,2,project accountant
project administrator,2,project administrator
project analyst,2,project analyst
project architect,2,project architect
project assistant,2,project assistant
project associate,2,project associate
project coordinator,2,project co-ordinator
project consultant,2,project consultant
project controller,2,project controller
project coordinator,2,project coordinator
project designer,2,project designer
project director,2,project director
project engineer,2,project engineer
project engineer intern,3,project engineer intern
project engineering manager,3,project engineering manager
project executive,2,project executive
project geologist,2,project geologist
project intern,2,project intern
project leader,2,project lead
project leader,2,project leader
project management,2,project management
project management assistant,3,project management assistant
project management consultant,3,project management consultant
project management intern,3,project management intern
project manager,2,project manager
project manager and estimator,4,project manager and estimator
project manager assistant,3,project manager assistant
project officer,2,project officer
project planner,2,project planner
project specialist,2,project specialist
project superintendent,2,project superintendent
project supervisor,2,project supervisor
project trainee,2,project trainee
project manager,2,projectleider
project manager,2,projectmanager
project employee,2,projectmedewerker
project manager,2,projects manager
project manager,2,projektchef
project,1,projektledare
project,1,projektleder
project manager,2,projektleiter
project manager,2,projektmanager
designer,1,projetista
promoter,1,promoter
promotions assistant,2,promotions assistant
promotions coordinator,2,promotions coordinator
promotions manager,2,promotions manager
promotion girl,2,promotor
sales promoter,2,promotor de vendas
sales promoter,2,promotor de ventas
promotion girl,2,promotora
sales promoter,2,promotora de vendas
financial promoter,2,promotore finanziario
proofreader,1,proofreader
propagandist,1,propagandista
property accountant,2,property accountant
property consultant,2,property consultant
property manager,2,property manager
owner,1,propietaria
owner,1,propietario
owner,1,propriétaire
owner,1,proprietaria
owner,1,proprietária
owner,1,proprietario
owner,1,proprietário
owner,1,proprietário(a)
proprietor,1,proprietor
project,1,prosjektleder
designer,1,proyectista
sales representative,2,przedstawiciel handlowy
psychologist,1,psicologa
psychologist,1,psicóloga
clinical psychologist,2,psicologa clinica
clinical psychologist,2,psicóloga clínica
psychologist,1,psicologo
psychologist,1,psicólogo
clinical psychologist,2,psicólogo clínico
psychopedagogist,1,psicopedagoga
psychotherapist,1,psicoterapeuta
psychiatric social worker,3,psychiatric social worker
psychiatrist,1,psychiatrist
psychologist,1,psychologist
psychologist,1,psychologue
clinical psychologist,2,psychologue clinicienne
trainee psychologist,2,psychologue stagiaire
psychology intern,2,psychology intern
psychologist,1,psycholoog
psychotherapist,1,psychotherapist
psychologist,1,psykolog
pta,1,pta
public affairs officer,3,public affairs officer
public health nurse,3,public health nurse
public relations,2,public relations
public relations assistant,3,public relations assistant
public relations consultant,3,public relations consultant
public relations coordinator,3,public relations coordinator
public relations director,3,public relations director
public relations intern,3,public relations intern
public relations manager,3,public relations manager
public relations officer,3,public relations officer
public relations specialist,3,public relations specialist
public servant,2,public servant
publisher,1,publisher
purchaser,1,purchase
purchase assistant,2,purchase assistant
purchase ledger clerk,3,purchase ledger clerk
purchase manager,2,purchase manager
purchase officer,2,purchase officer
purchaser,1,purchaser
purchasing,1,purchasing
purchasing agent,2,purchasing agent
purchasing assistant,2,purchasing assistant
purchasing coordinator,2,purchasing coordinator
purchasing manager,2,purchasing manager
purchasing officer,2,purchasing officer
purchasing specialist,2,purchasing specialist
purchasing supervisor,2,purchasing supervisor
python,1,py
python,1,python
quality assurance,1,qa
qa analyst,2,qa analyst
qa and qc engineer,4,qa and qc engineer
qa and qc inspector,4,qa and qc inspector
qa and qc manager,4,qa and qc manager
throat engineer,2,qa engineer
qa lead,2,qa lead
qa manager,2,qa manager
qa specialist,2,qa specialist
qa team lead,3,qa team lead
qa tester,2,qa tester
quality control,1,qc
qc analyst,2,qc analyst
qc chemist,2,qc chemist
throat engineer,2,qc engineer
qc inspector,2,qc inspector
qc manager,2,qc manager
qc supervisor,2,qc supervisor
quality engineer,1,qe
house manager,2,qhse manager
quality management,1,qm
quantity surveyor,1,qs
painting,1,quadro
quality,1,quality
quality analyst,2,quality analyst
quality assurance,2,quality assurance
quality assurance analyst,3,quality assurance analyst
quality assurance coordinator,3,quality assurance coordinator
quality assurance engineer,3,quality assurance engineer
quality assurance manager,3,quality assurance manager
quality assurance officer,3,quality assurance officer
quality assurance specialist,3,quality assurance specialist
quality assurance supervisor,3,quality assurance supervisor
quality assurance technician,3,quality assurance technician
quality auditor,2,quality auditor
quality control,2,quality control
quality control analyst,3,quality control analyst
quality control chemist,3,quality control chemist
